cliente_id,genero,edad,ubicacion,frecuencia_compra,promedio_gasto,dias_desde_ultima_compra,tiempo_promedio_sesion,paginas_vistas_promedio,nivel_satisfaccion,carritos_abandonados,total_compras,email_abierto_30d,cliente_abandona,dias_registro,usa_movil,uso_cupon,visitas_semana,metodo_pago
1017,M,42,Galápagos,0.3,38.65,69,457,19,2,0,10,3,Sí,1223,1,0,4,Efectivo
1018,F,29,El Oro,3.8,45.77,85,508,4,2,1,30,2,Sí,971,1,0,1,Transferencia
1019,M,32,Puerto Baquerizo Moreno,2.5,52.76,64,191,15,4,0,10,4,No,1787,1,0,5,PayPal
1020,M,43,Cotopaxi,4.7,39.5,67,431,3,5,2,34,3,No,230,1,0,6,Efectivo
1021,F,58,Latacunga,0.3,25.29,48,537,15,3,0,46,0,Sí,1785,0,0,1,PayPal
1022,M,62,Portoviejo,1.8,38.28,51,67,12,1,1,13,3,Sí,1432,1,1,10,Tarjeta
1023,M,43,Tungurahua,1.8,28.71,28,540,17,3,2,29,4,No,869,0,0,11,PayPal
1024,M,64,Francisco de Orellana,0.9,38.74,20,422,9,5,1,38,3,No,443,0,1,13,Efectivo
1025,F,49,Cotopaxi,1.2,59.42,89,523,8,3,2,41,0,No,1615,1,0,13,Tarjeta
1026,F,27,Nueva Loja,0.1,46.34,77,229,12,4,1,45,4,Sí,1537,1,1,10,Transferencia
1027,M,33,Puerto Baquerizo Moreno,2.7,38.1,8,284,4,2,3,9,4,Sí,905,0,0,14,Efectivo
1028,F,24,Zamora,1.6,46.08,46,208,18,5,2,13,3,No,485,0,0,12,PayPal
1029,F,34,Pastaza,0.1,47.15,75,576,15,5,1,37,4,Sí,1315,0,0,13,Transferencia
1030,M,40,Guayas,2.3,18.83,41,418,7,3,2,14,3,No,1055,0,1,12,Tarjeta
1031,F,43,Nueva Loja,1.3,35.63,50,427,9,4,1,37,2,No,376,1,0,4,Efectivo
1032,M,38,Bolívar,0.1,73.44,55,187,6,3,1,9,4,Sí,1284,0,0,4,Tarjeta
1033,M,39,Los Ríos,7.0,53.19,50,33,9,3,1,8,3,No,559,1,1,14,Tarjeta
1034,M,24,Loja,6.0,27.45,69,196,3,5,1,39,2,No,1437,0,0,1,PayPal
1035,M,31,Cuenca,1.4,25.95,19,497,16,3,3,40,4,No,121,0,0,2,PayPal
1036,F,32,El Oro,0.2,25.45,87,438,13,2,1,3,2,Sí,352,0,1,11,PayPal
1037,M,24,Machala,2.8,47.99,26,441,18,3,1,47,5,No,847,1,0,10,Transferencia
1038,M,26,Ambato,1.4,59.11,37,233,2,2,1,40,4,No,956,0,1,5,Transferencia
1039,F,25,Chimborazo,0.7,43.73,71,223,16,5,1,33,5,Sí,1684,1,1,2,PayPal
1040,M,40,Orellana,1.4,37.36,64,264,15,4,2,32,0,No,574,1,1,3,Transferencia
1041,M,46,Tungurahua,1.5,28.34,53,179,17,2,0,7,0,Sí,1182,1,0,9,Efectivo
1042,F,35,Orellana,1.7,39.94,23,188,10,4,0,19,3,No,610,0,0,5,Tarjeta
1043,M,48,Pastaza,1.2,22.7,46,308,2,4,2,34,1,No,1805,1,1,1,PayPal
1044,M,47,Machala,1.9,5.96,70,433,18,2,2,14,5,Sí,1599,1,1,5,Tarjeta
1045,M,56,Pichincha,5.0,59.55,82,340,14,5,3,47,5,Sí,799,0,0,3,Tarjeta
1046,F,52,El Oro,0.9,19.91,85,97,6,1,2,46,0,Sí,1075,0,0,1,Tarjeta
1047,M,35,Loja,2.6,30.13,62,492,11,4,3,19,5,Sí,1906,1,0,3,Efectivo
1048,F,59,Sucumbíos,4.5,44.85,56,117,7,4,2,26,1,No,289,1,1,11,Efectivo
1049,F,56,Santa Elena,1.2,56.52,54,246,14,5,2,17,2,No,1057,0,0,6,Transferencia
1050,M,34,Cotopaxi,1.2,38.86,59,30,2,5,0,28,2,No,786,1,1,10,Tarjeta
1051,M,31,Morona Santiago,1.8,17.09,98,164,16,3,4,19,1,Sí,1057,1,1,5,Transferencia
1052,F,48,Puerto Baquerizo Moreno,1.8,30.48,61,380,15,5,0,27,5,No,662,1,0,12,Tarjeta
1053,M,41,Loja,3.3,24.82,29,169,9,4,1,48,5,No,1999,0,0,12,PayPal
1054,F,52,Guaranda,1.3,34.43,92,162,11,2,1,19,5,Sí,1690,1,1,1,Tarjeta
1055,F,61,Machala,11.1,53.48,21,207,10,1,1,33,3,No,1367,0,1,11,Tarjeta
1056,M,62,Orellana,0.1,-3.06,74,387,18,3,1,7,4,Sí,931,0,0,2,Efectivo
1057,M,51,Loja,0.0,28.83,83,409,10,2,0,29,1,Sí,1628,0,1,5,PayPal
1058,M,20,Santo Domingo,2.0,27.74,28,479,4,1,1,43,1,No,1254,1,0,9,Transferencia
1059,M,54,Carchi,0.7,16.15,40,492,12,1,0,5,1,Sí,1608,0,0,11,PayPal
1060,M,60,Zamora,0.5,43.78,41,137,13,1,1,30,1,Sí,1942,1,1,14,Efectivo
1061,M,57,Santo Domingo,0.7,13.78,97,151,11,2,1,49,1,Sí,746,0,1,12,Efectivo
1062,M,43,Imbabura,0.6,15.5,64,46,18,3,1,43,5,Sí,120,1,0,12,Tarjeta
1063,F,40,Guayaquil,0.1,47.77,30,225,18,3,2,8,3,No,940,1,1,13,Efectivo
1064,M,61,Santa Elena,7.1,57.51,29,356,12,1,4,42,0,Sí,266,1,1,5,Efectivo
1065,M,56,Bolívar,0.5,33.86,17,347,5,2,2,12,5,Sí,1397,0,0,5,Tarjeta
1066,F,32,Azuay,2.6,16.74,16,508,8,1,2,42,5,No,487,1,1,1,Efectivo
1067,M,21,Machala,2.9,24.42,37,281,15,5,1,13,4,No,700,1,0,5,Efectivo
1068,F,46,Esmeraldas,5.3,50.12,13,532,8,3,1,26,0,No,415,0,1,8,Transferencia
1069,M,39,Quito,0.1,36.75,86,148,9,4,0,18,1,Sí,113,0,0,9,Tarjeta
1070,M,42,Zamora,4.1,33.48,88,527,2,1,2,42,0,Sí,341,1,1,10,Tarjeta
1071,F,30,Galápagos,1.5,39.7,78,515,5,5,1,49,3,No,876,0,1,3,Transferencia
1072,M,35,Loja,2.0,34.44,55,74,13,3,1,20,2,No,1469,0,1,4,Transferencia
1073,M,50,Machala,2.1,58.19,21,343,4,2,5,16,5,Sí,664,0,1,7,Transferencia
1074,F,33,Babahoyo,3.4,23.76,66,208,14,3,0,37,0,No,997,1,1,7,Transferencia
1075,F,62,Azuay,0.8,22.04,55,447,7,2,2,3,4,Sí,1463,0,1,1,Tarjeta
1076,F,59,Riobamba,2.6,14.25,18,585,12,2,1,27,3,No,191,1,1,11,Transferencia
1077,F,61,Nueva Loja,1.5,26.9,56,107,5,1,1,15,2,Sí,1490,0,1,6,Transferencia
1078,M,19,Cañar,3.2,18.62,43,355,17,1,2,34,3,No,1055,0,0,13,Efectivo
1079,M,52,Machala,9.3,38.27,97,386,8,3,5,45,1,Sí,1578,1,1,12,Tarjeta
1080,M,59,Chimborazo,0.4,35.31,34,445,12,5,1,22,2,No,1551,0,1,14,Transferencia
1081,F,51,Galápagos,10.5,18.81,0,544,2,3,1,40,4,No,608,0,1,9,Efectivo
1082,F,47,Tena,0.2,43.84,51,243,8,4,0,23,2,Sí,875,0,1,5,Tarjeta
1083,M,30,Guayas,0.0,57.75,84,103,13,2,2,49,4,Sí,134,0,1,8,Transferencia
1084,M,30,Babahoyo,0.1,40.37,92,592,8,2,2,4,1,Sí,305,1,0,11,Transferencia
1085,M,35,Manabí,0.8,-3.15,69,538,8,1,1,41,4,Sí,1204,1,0,10,Efectivo
1086,M,49,Loja,2.0,64.81,36,361,11,5,3,23,3,No,1685,1,1,11,PayPal
1087,F,49,Morona Santiago,0.1,46.2,64,122,17,1,1,47,0,Sí,1995,1,1,9,Tarjeta
1088,F,52,Zamora,0.0,64.35,50,548,9,4,2,9,3,Sí,1511,1,1,10,Efectivo
1089,F,56,Zamora Chinchipe,5.5,51.36,0,298,10,3,2,24,5,No,1125,1,1,10,Transferencia
1090,F,63,Pichincha,3.5,54.36,90,405,10,3,1,21,3,No,1121,1,0,13,PayPal
1091,M,46,Carchi,3.3,38.08,20,33,3,5,0,41,2,No,1513,0,1,3,PayPal
1092,F,46,Esmeraldas,4.3,31.07,52,167,14,1,1,46,1,Sí,665,1,0,1,Efectivo
1093,F,61,Pastaza,2.4,40.6,15,260,14,1,3,16,5,Sí,1229,1,1,14,Efectivo
1094,F,33,Tungurahua,0.2,24.37,60,558,5,4,2,25,5,Sí,1895,1,0,14,Efectivo
1095,F,61,Cañar,1.0,41.51,53,81,13,3,3,26,5,Sí,1945,0,0,2,Tarjeta
1096,F,64,Napo,2.6,-4.4,39,354,18,1,0,49,0,No,1600,1,0,5,PayPal
1097,F,27,Manabí,0.7,35.64,25,306,3,5,1,45,4,No,802,1,1,14,Tarjeta
1098,M,47,Los Ríos,2.3,55.17,79,565,14,3,3,9,2,Sí,501,1,1,10,PayPal
1099,M,42,Ibarra,0.0,36.41,91,515,19,4,1,15,1,Sí,829,0,1,7,Tarjeta
1100,M,56,Orellana,0.7,60.91,64,545,16,5,2,39,0,Sí,1679,1,1,11,Efectivo
1101,M,37,Cotopaxi,1.6,31.04,99,181,9,2,0,33,3,Sí,261,0,1,6,Transferencia
1102,F,22,Puyo,2.0,50.04,73,512,16,4,0,1,1,No,301,0,0,4,Efectivo
1103,M,18,Bolívar,1.7,21.83,63,288,2,5,2,5,5,No,1095,0,0,9,Tarjeta
1104,F,47,Machala,2.4,49.43,42,353,11,1,1,9,1,No,369,0,0,12,Efectivo
1105,M,20,Esmeraldas,0.0,38.49,16,197,13,2,2,44,1,Sí,1986,1,1,11,PayPal
1106,M,62,Macas,0.2,31.7,58,339,6,4,1,6,3,Sí,915,0,0,4,Tarjeta
1107,M,31,Chimborazo,4.1,-3.61,22,508,10,1,0,28,4,No,1394,0,1,3,Efectivo
1108,F,47,Cotopaxi,2.3,31.18,6,85,9,2,0,45,2,No,555,1,0,11,Efectivo
1109,M,21,Guaranda,0.2,38.2,43,502,17,3,1,26,5,No,1585,0,1,5,Transferencia
1110,M,35,Guayas,3.7,47.43,52,325,15,1,1,28,4,Sí,1850,0,0,4,Transferencia
1111,M,54,Sucumbíos,0.6,58.41,70,490,14,5,3,40,0,Sí,1375,0,1,2,Efectivo
1112,M,42,Carchi,1.3,65.53,78,353,14,4,1,15,5,No,1116,0,0,3,PayPal
1113,M,18,Santo Domingo,0.3,53.69,33,170,6,2,1,6,2,Sí,1825,0,0,7,PayPal
1114,F,63,El Oro,2.5,26.57,45,291,17,1,2,27,0,No,395,0,0,12,PayPal
1115,F,32,Francisco de Orellana,2.2,30.43,67,449,12,3,7,38,3,Sí,1848,1,1,2,Efectivo
1116,F,26,Guayas,0.5,46.08,77,270,6,4,1,4,4,Sí,819,1,0,1,Transferencia
1117,F,32,Azuay,4.0,42.79,77,384,14,4,5,11,5,Sí,1872,1,0,2,Efectivo
1118,M,41,Latacunga,1.0,59.43,15,209,12,1,1,21,1,No,437,1,0,12,Transferencia
1119,F,21,Santa Elena,0.7,72.19,70,95,4,3,0,30,2,Sí,978,0,1,8,PayPal
1120,F,29,Zamora Chinchipe,0.3,69.01,95,377,16,2,3,18,5,Sí,1176,0,0,8,Transferencia
1121,F,54,Portoviejo,0.6,57.41,18,200,8,1,0,35,1,Sí,891,0,1,12,Efectivo
1122,F,54,Loja,0.0,42.92,1,503,8,2,1,3,5,Sí,316,1,0,10,Efectivo
1123,M,60,Zamora Chinchipe,1.8,55.24,9,563,7,4,1,12,0,No,863,1,0,2,Efectivo
1124,M,23,Los Ríos,3.7,59.92,49,396,4,2,1,27,1,Sí,287,0,1,6,Transferencia
1125,M,56,Cañar,1.6,32.79,80,136,14,3,1,30,1,No,479,0,1,11,PayPal
1126,M,63,Latacunga,0.5,27.01,11,468,8,5,0,21,5,No,592,1,0,12,Efectivo
1127,F,41,Guayaquil,0.1,23.49,69,256,6,3,0,38,3,Sí,1164,1,1,11,Efectivo
1128,F,28,Napo,0.5,21.85,21,473,19,2,1,21,3,Sí,1280,1,1,11,Transferencia
1129,M,30,Guayas,1.1,14.27,31,471,9,1,3,38,4,Sí,114,1,1,7,PayPal
1130,F,51,Orellana,2.9,38.75,83,425,18,4,1,40,0,No,1936,0,0,1,Transferencia
1131,M,42,Pichincha,0.4,20.0,0,113,2,5,3,15,3,Sí,164,1,0,7,Tarjeta
1132,M,24,Loja,2.5,23.25,53,580,15,1,0,18,5,Sí,1980,1,0,12,Tarjeta
1133,M,21,Chimborazo,4.0,45.52,57,42,18,1,2,29,3,Sí,1962,0,1,11,Efectivo
1134,M,25,Esmeraldas,1.2,37.72,69,522,11,3,0,48,4,No,620,0,1,8,Transferencia
1135,M,37,Chimborazo,3.4,41.44,82,297,13,2,0,38,2,Sí,1467,0,1,9,Transferencia
1136,M,46,Portoviejo,1.6,55.48,17,554,17,3,1,21,4,No,1252,1,1,14,Efectivo
1137,F,62,Santo Domingo de los Tsáchilas,2.0,47.97,5,149,15,2,2,17,1,No,747,1,0,8,Tarjeta
1138,F,63,Portoviejo,1.5,57.78,44,382,17,3,0,41,1,No,1595,1,1,3,PayPal
1139,M,27,Santo Domingo de los Tsáchilas,1.2,36.2,96,86,9,1,1,18,3,Sí,1186,1,0,8,PayPal
1140,M,60,Ambato,0.5,59.18,22,69,11,4,3,37,3,Sí,1262,0,1,3,Tarjeta
1141,M,51,Ibarra,0.7,40.4,22,365,18,2,2,38,4,Sí,1622,0,0,6,Efectivo
1142,M,43,Napo,0.7,37.53,25,202,19,5,2,12,4,No,692,1,0,4,Efectivo
1143,F,58,Napo,1.7,56.92,76,576,17,5,0,11,5,No,491,1,1,7,PayPal
1144,M,20,Puerto Baquerizo Moreno,0.3,21.92,6,288,18,1,0,48,0,Sí,1798,1,1,8,PayPal
1145,M,23,Puyo,5.0,65.35,78,546,17,3,1,49,5,No,518,0,1,10,Tarjeta
1146,M,22,Santo Domingo de los Tsáchilas,2.6,30.77,43,552,9,3,1,20,1,No,388,1,0,6,Tarjeta
1147,F,22,Carchi,1.0,16.73,26,146,7,1,3,9,5,Sí,478,0,1,10,Transferencia
1148,F,64,Esmeraldas,0.3,44.8,25,213,7,5,4,1,4,Sí,1896,1,0,4,Tarjeta
1149,M,40,Macas,4.3,29.34,96,145,10,5,1,3,5,No,1613,0,1,8,Tarjeta
1150,M,26,Riobamba,3.5,65.39,78,191,5,3,5,21,2,Sí,330,0,0,7,PayPal
1151,M,52,Morona Santiago,2.6,28.51,35,572,13,2,0,23,0,No,1117,1,1,10,PayPal
1152,M,37,Latacunga,0.6,39.72,54,266,13,4,2,9,4,Sí,140,0,0,8,Transferencia
1153,M,59,Sucumbíos,1.0,13.62,63,95,18,2,0,19,3,Sí,1151,0,0,13,PayPal
1154,F,52,El Oro,0.2,47.19,90,99,16,5,5,45,5,Sí,234,1,0,10,PayPal
1155,M,35,Tena,0.4,23.34,56,476,10,2,5,46,4,Sí,300,0,1,7,PayPal
1156,M,34,Macas,3.1,45.4,68,445,8,4,0,19,3,No,1963,1,0,14,Tarjeta
1157,F,41,Azogues,2.5,28.57,60,561,11,2,0,23,3,Sí,879,0,1,3,PayPal
1158,F,20,Pastaza,1.8,4.3,1,470,17,2,0,27,1,No,1029,0,0,3,Efectivo
1159,M,49,Francisco de Orellana,4.5,36.97,54,493,13,2,0,27,1,Sí,1156,0,1,9,Tarjeta
1160,F,52,Guayaquil,1.8,36.3,96,425,8,2,0,39,4,Sí,1171,0,1,14,PayPal
1161,M,55,Riobamba,1.3,48.22,79,580,19,1,1,36,4,Sí,602,1,0,7,Tarjeta
1162,F,30,Guaranda,0.8,58.34,86,586,16,5,1,12,2,Sí,506,1,0,12,PayPal
1163,F,64,Tungurahua,5.6,63.69,37,424,7,4,4,27,0,No,1697,1,1,1,Transferencia
1164,F,42,Santa Elena,0.2,47.96,79,355,13,5,0,46,0,Sí,1851,0,0,3,Transferencia
1165,M,26,Bolívar,5.3,39.18,77,120,12,1,1,34,4,Sí,904,0,1,11,Transferencia
1166,F,21,Riobamba,3.5,13.59,28,99,4,1,2,33,1,No,198,1,1,1,PayPal
1167,M,31,Santa Elena,0.3,38.03,25,195,3,1,0,28,5,Sí,783,1,1,6,Transferencia
1168,M,54,Pastaza,1.7,38.22,34,243,7,1,1,31,2,No,1995,1,1,13,Tarjeta
1169,M,51,Santo Domingo,4.0,32.02,78,364,6,2,1,32,0,Sí,825,1,1,2,Transferencia
1170,F,28,Pichincha,1.7,44.49,66,398,19,5,0,20,4,No,1670,0,1,7,Transferencia
1171,F,58,Azogues,4.8,51.83,86,78,17,3,0,40,1,No,1060,1,1,8,Transferencia
1172,M,20,Azuay,5.7,22.72,28,81,9,4,0,35,1,No,1862,0,1,13,Transferencia
1173,F,45,Galápagos,1.1,22.49,33,318,12,1,1,31,1,No,712,1,1,13,Tarjeta
1174,M,46,Tungurahua,0.9,32.91,96,268,11,5,2,31,5,Sí,1585,0,0,13,Efectivo
1175,F,26,Santo Domingo de los Tsáchilas,5.5,25.77,40,162,13,1,3,38,3,Sí,742,1,1,6,Transferencia
1176,M,20,Babahoyo,2.2,10.38,40,195,7,1,2,22,5,No,1892,1,1,5,PayPal
1177,F,42,Chimborazo,0.2,20.05,22,403,6,1,2,45,1,Sí,1128,0,1,10,Efectivo
1178,M,51,Imbabura,0.1,16.52,70,402,10,1,3,41,4,Sí,1341,0,0,4,Transferencia
1179,M,29,Pichincha,1.7,53.13,2,507,17,1,5,9,2,Sí,602,1,0,9,Efectivo
1180,M,59,Los Ríos,5.3,60.54,57,508,15,4,0,9,5,No,866,0,0,8,PayPal
1181,M,26,Santo Domingo,3.7,18.57,31,329,9,5,2,15,4,No,497,1,0,5,PayPal
1182,M,32,Bolívar,2.3,43.19,30,111,15,1,2,13,1,No,970,0,0,13,Transferencia
1183,M,57,Manabí,0.3,48.1,81,116,8,1,1,22,2,Sí,894,1,0,1,Transferencia
1184,F,42,Loja,0.6,12.62,42,254,6,1,0,16,0,Sí,492,1,1,8,PayPal
1185,M,22,Francisco de Orellana,4.2,37.41,6,45,19,1,1,32,0,No,306,1,0,8,Tarjeta
1186,F,28,Puerto Baquerizo Moreno,0.4,73.0,0,387,3,2,1,2,4,Sí,1138,1,0,7,Efectivo
1187,F,51,Pichincha,0.7,45.16,60,192,12,2,3,26,2,Sí,1981,1,0,7,Tarjeta
1188,F,41,Orellana,0.3,31.32,13,543,9,3,1,14,4,No,1677,1,0,8,Transferencia
1189,F,32,Ibarra,2.3,26.6,51,379,2,1,4,38,2,Sí,991,1,0,1,Tarjeta
1190,M,55,Puerto Baquerizo Moreno,5.8,4.66,95,493,13,3,0,34,2,No,1584,1,1,12,Tarjeta
1191,M,25,Pastaza,0.6,42.06,5,404,3,4,1,8,4,No,1814,0,1,3,Efectivo
1192,F,22,Santo Domingo de los Tsáchilas,1.3,64.22,9,121,19,3,1,36,2,No,1698,0,0,4,Transferencia
1193,M,43,Riobamba,2.0,22.8,70,210,8,5,1,21,5,No,963,0,1,11,Efectivo
1194,F,35,Cotopaxi,15.1,5.97,89,330,18,2,3,46,1,Sí,842,1,0,6,PayPal
1195,M,23,Pichincha,0.2,25.04,97,218,15,2,2,43,2,Sí,1364,1,1,10,Efectivo
1196,M,54,Tungurahua,1.4,48.22,29,343,8,1,0,28,5,No,663,1,1,12,Efectivo
1197,F,30,Guaranda,1.0,28.57,99,522,4,1,1,46,2,Sí,1120,0,0,10,PayPal
1198,F,45,Puyo,4.0,22.69,20,157,7,4,5,44,5,No,195,0,0,9,Tarjeta
1199,F,22,Zamora,1.3,35.29,59,548,3,4,0,48,4,No,1857,0,0,4,Efectivo
1200,F,30,Puerto Baquerizo Moreno,0.2,38.45,80,455,18,5,2,6,0,Sí,584,0,1,6,PayPal
1201,F,34,Ibarra,2.0,14.17,96,588,13,1,3,20,3,Sí,1530,0,1,9,Transferencia
1202,M,57,Francisco de Orellana,2.9,31.74,73,594,13,1,1,31,2,Sí,330,1,0,14,Tarjeta
1203,M,62,Guayaquil,0.0,27.54,62,216,18,4,0,33,3,Sí,848,0,0,14,PayPal
1204,F,49,Zamora,3.9,25.39,41,579,11,4,1,44,2,No,1778,1,1,13,Tarjeta
1205,F,46,Zamora,0.4,19.74,50,482,4,4,1,7,4,Sí,1294,1,0,9,PayPal
1206,M,20,Manabí,1.6,49.12,63,500,19,2,1,8,4,Sí,640,1,1,6,Efectivo
1207,M,57,Cotopaxi,1.1,25.33,75,594,14,3,1,9,5,No,1159,0,1,5,Tarjeta
1208,F,51,Guaranda,2.5,5.08,55,253,13,3,2,2,2,No,624,0,0,3,Efectivo
1209,M,57,Santa Elena,0.9,38.96,79,183,18,1,0,17,4,Sí,1283,1,1,5,PayPal
1210,M,44,Riobamba,4.1,45.88,40,589,5,2,1,45,4,No,1962,0,1,3,Efectivo
1211,F,30,Guayas,2.6,23.06,31,380,11,4,1,37,2,No,1822,0,1,5,Efectivo
1212,F,62,Carchi,2.1,26.61,14,176,12,1,1,42,5,No,1366,1,1,13,PayPal
1213,F,50,Puyo,3.2,25.26,61,378,7,2,2,44,5,Sí,1209,1,0,10,Efectivo
1214,M,23,Azogues,2.8,29.8,26,211,7,5,2,17,5,No,1919,1,1,10,Efectivo
1215,F,41,Imbabura,0.1,51.6,27,208,10,2,4,38,5,Sí,677,1,0,1,Efectivo
1216,M,36,Nueva Loja,1.0,33.29,80,68,16,1,1,35,0,Sí,781,1,1,6,Transferencia
1217,M,33,Nueva Loja,5.3,47.59,63,32,3,3,3,47,2,Sí,656,0,0,7,Transferencia
1218,F,57,Cotopaxi,0.3,20.47,58,93,5,4,2,39,0,Sí,1697,1,1,2,Transferencia
1219,F,45,Portoviejo,2.7,29.24,57,58,6,5,1,30,4,No,1112,0,1,3,Tarjeta
1220,F,50,Babahoyo,7.3,49.31,1,401,18,2,1,6,0,No,745,0,0,10,Efectivo
1221,F,58,Puyo,0.1,22.92,35,552,9,1,0,4,5,Sí,895,1,1,9,Efectivo
1222,F,30,Morona Santiago,2.3,50.18,70,126,9,1,0,37,4,Sí,1151,1,0,8,Efectivo
1223,M,60,Machala,1.3,25.57,12,471,13,4,0,35,0,No,1743,0,1,4,Tarjeta
1224,M,62,Zamora Chinchipe,1.7,30.18,14,232,9,1,4,9,0,Sí,1679,1,0,11,Tarjeta
1225,M,42,Santo Domingo,0.2,60.05,88,440,4,1,0,6,2,Sí,1463,0,0,12,PayPal
1226,M,59,Esmeraldas,0.1,28.46,86,50,19,4,1,13,0,Sí,1921,1,1,8,Efectivo
1227,M,53,Santo Domingo,2.2,37.18,59,580,16,5,0,22,4,No,1454,1,1,11,PayPal
1228,M,44,Manabí,3.5,44.25,21,131,7,3,1,28,5,No,1763,0,1,8,PayPal
1229,F,55,Carchi,3.0,38.4,62,75,17,3,0,30,2,No,1629,0,1,14,Tarjeta
1230,F,24,Ambato,1.6,38.83,89,95,9,2,0,36,0,Sí,1471,1,1,6,Transferencia
1231,F,22,Santa Elena,0.2,34.15,96,193,17,5,1,2,2,Sí,1596,1,1,14,Tarjeta
1232,F,60,Manabí,2.3,15.47,74,140,19,2,1,36,3,Sí,1354,1,1,1,Tarjeta
1233,F,62,Pichincha,0.6,40.22,73,367,17,3,4,8,2,Sí,289,0,1,2,Transferencia
1234,F,48,Ambato,4.8,24.01,24,152,12,4,1,45,5,No,1348,1,1,4,Transferencia
1235,M,40,Riobamba,3.6,46.64,47,476,8,1,0,42,3,Sí,1508,1,0,4,Tarjeta
1236,F,59,Orellana,2.5,55.58,42,320,18,3,0,9,3,No,1500,1,0,2,Efectivo
1237,M,27,Puyo,5.9,7.92,37,441,18,5,4,1,2,No,1406,1,0,9,PayPal
1238,M,49,Morona Santiago,0.1,55.61,40,310,13,3,2,13,4,No,732,0,1,2,Efectivo
1239,F,60,Santa Elena,2.7,28.83,44,72,14,5,4,15,5,No,727,0,0,13,PayPal
1240,M,47,Pichincha,0.8,33.04,87,515,11,5,1,32,4,Sí,1072,0,1,13,Efectivo
1241,M,56,Santa Elena,4.7,21.31,39,80,8,5,0,34,5,No,1868,1,1,6,Transferencia
1242,M,48,Bolívar,0.6,37.83,96,239,15,2,1,43,5,Sí,1382,1,1,5,Efectivo
1243,M,35,Pichincha,2.6,36.0,16,155,2,4,1,31,4,No,1482,1,1,4,Tarjeta
1244,M,53,Esmeraldas,4.2,51.15,87,521,18,3,0,14,1,No,809,0,0,6,PayPal
1245,M,19,Quito,0.1,23.88,56,538,5,4,3,47,3,Sí,1579,0,0,4,PayPal
1246,M,31,El Oro,1.0,59.91,1,287,6,1,2,14,2,No,1534,0,0,9,Efectivo
1247,M,30,Loja,2.9,44.97,95,217,8,3,3,48,4,Sí,748,0,1,11,Transferencia
1248,M,46,Zamora,1.2,36.36,61,259,11,4,1,29,4,No,417,1,1,10,Tarjeta
1249,M,29,Manabí,0.6,32.29,87,218,18,4,1,47,2,Sí,1800,0,0,7,Transferencia
1250,F,56,Chimborazo,0.5,30.4,8,444,8,1,0,19,3,Sí,1348,0,1,3,Tarjeta
1251,M,19,Cañar,0.3,31.38,67,39,2,5,2,27,2,Sí,1942,1,0,12,Tarjeta
1252,M,49,Santo Domingo de los Tsáchilas,3.9,37.53,80,143,8,3,2,9,5,No,1357,0,0,10,Tarjeta
1253,F,30,Ambato,1.7,31.87,16,105,12,3,2,37,1,No,783,1,0,4,Efectivo
1254,M,63,Quito,0.2,25.39,49,531,10,1,3,37,5,Sí,763,1,1,1,Tarjeta
1255,M,44,Esmeraldas,1.0,37.62,93,114,13,5,3,43,1,Sí,1950,1,0,6,Tarjeta
1256,F,58,Guaranda,0.9,22.46,39,78,4,3,0,28,2,No,1497,1,1,2,Tarjeta
