cliente_id,genero,edad,ubicacion,frecuencia_compra,promedio_gasto,dias_desde_ultima_compra,tiempo_promedio_sesion,paginas_vistas_promedio,nivel_satisfaccion,carritos_abandonados,total_compras,email_abierto_30d,cliente_abandona
1098,M,47,Los Ríos,2.3,55.17,79,565,14,3,3,9,2,Sí
1099,M,42,Ibarra,0.0,36.41,91,515,19,4,1,15,1,Sí
1100,M,56,Orellana,0.7,60.91,64,545,16,5,2,39,0,Sí
1101,M,37,Cotopaxi,1.6,31.04,99,181,9,2,0,33,3,Sí
1102,F,22,Puyo,2.0,50.04,73,512,16,4,0,1,1,No
1103,M,18,Bolívar,1.7,21.83,63,288,2,5,2,5,5,No
1104,F,47,Machala,2.4,49.43,42,353,11,1,1,9,1,No
1105,M,20,Esmeraldas,0.0,38.49,16,197,13,2,2,44,1,Sí
1106,M,62,Macas,0.2,31.7,58,339,6,4,1,6,3,Sí
1107,M,31,Chimborazo,4.1,-3.61,22,508,10,1,0,28,4,No
1108,F,47,Cotopaxi,2.3,31.18,6,85,9,2,0,45,2,No
1109,M,21,Guaranda,0.2,38.2,43,502,17,3,1,26,5,No
1110,M,35,Guayas,3.7,47.43,52,325,15,1,1,28,4,Sí
1111,M,54,Sucumbíos,0.6,58.41,70,490,14,5,3,40,0,Sí
1112,M,42,Carchi,1.3,65.53,78,353,14,4,1,15,5,No
1113,M,18,Santo Domingo,0.3,53.69,33,170,6,2,1,6,2,Sí
1114,F,63,El Oro,2.5,26.57,45,291,17,1,2,27,0,No
1115,F,32,Francisco de Orellana,2.2,30.43,67,449,12,3,7,38,3,Sí
1116,F,26,Guayas,0.5,46.08,77,270,6,4,1,4,4,Sí
1117,F,32,Azuay,4.0,42.79,77,384,14,4,5,11,5,Sí
1118,M,41,Latacunga,1.0,59.43,15,209,12,1,1,21,1,No
1119,F,21,Santa Elena,0.7,72.19,70,95,4,3,0,30,2,Sí
1120,F,29,Zamora Chinchipe,0.3,69.01,95,377,16,2,3,18,5,Sí
1121,F,54,Portoviejo,0.6,57.41,18,200,8,1,0,35,1,Sí
1122,F,54,Loja,0.0,42.92,1,503,8,2,1,3,5,Sí
1123,M,60,Zamora Chinchipe,1.8,55.24,9,563,7,4,1,12,0,No
1124,M,23,Los Ríos,3.7,59.92,49,396,4,2,1,27,1,Sí
1125,M,56,Cañar,1.6,32.79,80,136,14,3,1,30,1,No
1126,M,63,Latacunga,0.5,27.01,11,468,8,5,0,21,5,No
1127,F,41,Guayaquil,0.1,23.49,69,256,6,3,0,38,3,Sí
1128,F,28,Napo,0.5,21.85,21,473,19,2,1,21,3,Sí
1129,M,30,Guayas,1.1,14.27,31,471,9,1,3,38,4,Sí
1130,F,51,Orellana,2.9,38.75,83,425,18,4,1,40,0,No
1131,M,42,Pichincha,0.4,20.0,0,113,2,5,3,15,3,Sí
1132,M,24,Loja,2.5,23.25,53,580,15,1,0,18,5,Sí
1133,M,21,Chimborazo,4.0,45.52,57,42,18,1,2,29,3,Sí
1134,M,25,Esmeraldas,1.2,37.72,69,522,11,3,0,48,4,No
1135,M,37,Chimborazo,3.4,41.44,82,297,13,2,0,38,2,Sí
1136,M,46,Portoviejo,1.6,55.48,17,554,17,3,1,21,4,No
1137,F,62,Santo Domingo de los Tsáchilas,2.0,47.97,5,149,15,2,2,17,1,No
1138,F,63,Portoviejo,1.5,57.78,44,382,17,3,0,41,1,No
1139,M,27,Santo Domingo de los Tsáchilas,1.2,36.2,96,86,9,1,1,18,3,Sí
1140,M,60,Ambato,0.5,59.18,22,69,11,4,3,37,3,Sí
1141,M,51,Ibarra,0.7,40.4,22,365,18,2,2,38,4,Sí
1142,M,43,Napo,0.7,37.53,25,202,19,5,2,12,4,No
1143,F,58,Napo,1.7,56.92,76,576,17,5,0,11,5,No
1144,M,20,Puerto Baquerizo Moreno,0.3,21.92,6,288,18,1,0,48,0,Sí
1145,M,23,Puyo,5.0,65.35,78,546,17,3,1,49,5,No
1146,M,22,Santo Domingo de los Tsáchilas,2.6,30.77,43,552,9,3,1,20,1,No
1147,F,22,Carchi,1.0,16.73,26,146,7,1,3,9,5,Sí
1148,F,64,Esmeraldas,0.3,44.8,25,213,7,5,4,1,4,Sí
1149,M,40,Macas,4.3,29.34,96,145,10,5,1,3,5,No
1150,M,26,Riobamba,3.5,65.39,78,191,5,3,5,21,2,Sí
1151,M,52,Morona Santiago,2.6,28.51,35,572,13,2,0,23,0,No
1152,M,37,Latacunga,0.6,39.72,54,266,13,4,2,9,4,Sí
1153,M,59,Sucumbíos,1.0,13.62,63,95,18,2,0,19,3,Sí
1154,F,52,El Oro,0.2,47.19,90,99,16,5,5,45,5,Sí
1155,M,35,Tena,0.4,23.34,56,476,10,2,5,46,4,Sí
1156,M,34,Macas,3.1,45.4,68,445,8,4,0,19,3,No
1157,F,41,Azogues,2.5,28.57,60,561,11,2,0,23,3,Sí
1158,F,20,Pastaza,1.8,4.3,1,470,17,2,0,27,1,No
1159,M,49,Francisco de Orellana,4.5,36.97,54,493,13,2,0,27,1,Sí
1160,F,52,Guayaquil,1.8,36.3,96,425,8,2,0,39,4,Sí
1161,M,55,Riobamba,1.3,48.22,79,580,19,1,1,36,4,Sí
1162,F,30,Guaranda,0.8,58.34,86,586,16,5,1,12,2,Sí
1163,F,64,Tungurahua,5.6,63.69,37,424,7,4,4,27,0,No
1164,F,42,Santa Elena,0.2,47.96,79,355,13,5,0,46,0,Sí
1165,M,26,Bolívar,5.3,39.18,77,120,12,1,1,34,4,Sí
1166,F,21,Riobamba,3.5,13.59,28,99,4,1,2,33,1,No
1167,M,31,Santa Elena,0.3,38.03,25,195,3,1,0,28,5,Sí
1168,M,54,Pastaza,1.7,38.22,34,243,7,1,1,31,2,No
1169,M,51,Santo Domingo,4.0,32.02,78,364,6,2,1,32,0,Sí
1170,F,28,Pichincha,1.7,44.49,66,398,19,5,0,20,4,No
1171,F,58,Azogues,4.8,51.83,86,78,17,3,0,40,1,No
1172,M,20,Azuay,5.7,22.72,28,81,9,4,0,35,1,No
1173,F,45,Galápagos,1.1,22.49,33,318,12,1,1,31,1,No
1174,M,46,Tungurahua,0.9,32.91,96,268,11,5,2,31,5,Sí
1175,F,26,Santo Domingo de los Tsáchilas,5.5,25.77,40,162,13,1,3,38,3,Sí
1176,M,20,Babahoyo,2.2,10.38,40,195,7,1,2,22,5,No
1177,F,42,Chimborazo,0.2,20.05,22,403,6,1,2,45,1,Sí
1178,M,51,Imbabura,0.1,16.52,70,402,10,1,3,41,4,Sí
1179,M,29,Pichincha,1.7,53.13,2,507,17,1,5,9,2,Sí
1180,M,59,Los Ríos,5.3,60.54,57,508,15,4,0,9,5,No
1181,M,26,Santo Domingo,3.7,18.57,31,329,9,5,2,15,4,No
1182,M,32,Bolívar,2.3,43.19,30,111,15,1,2,13,1,No
1183,M,57,Manabí,0.3,48.1,81,116,8,1,1,22,2,Sí
1184,F,42,Loja,0.6,12.62,42,254,6,1,0,16,0,Sí
1185,M,22,Francisco de Orellana,4.2,37.41,6,45,19,1,1,32,0,No
1186,F,28,Puerto Baquerizo Moreno,0.4,73.0,0,387,3,2,1,2,4,Sí
1187,F,51,Pichincha,0.7,45.16,60,192,12,2,3,26,2,Sí
1188,F,41,Orellana,0.3,31.32,13,543,9,3,1,14,4,No
1189,F,32,Ibarra,2.3,26.6,51,379,2,1,4,38,2,Sí
1190,M,55,Puerto Baquerizo Moreno,5.8,4.66,95,493,13,3,0,34,2,No
1191,M,25,Pastaza,0.6,42.06,5,404,3,4,1,8,4,No
1192,F,22,Santo Domingo de los Tsáchilas,1.3,64.22,9,121,19,3,1,36,2,No
1193,M,43,Riobamba,2.0,22.8,70,210,8,5,1,21,5,No
1194,F,35,Cotopaxi,15.1,5.97,89,330,18,2,3,46,1,Sí
1195,M,23,Pichincha,0.2,25.04,97,218,15,2,2,43,2,Sí
1196,M,54,Tungurahua,1.4,48.22,29,343,8,1,0,28,5,No
1197,F,30,Guaranda,1.0,28.57,99,522,4,1,1,46,2,Sí
1198,F,45,Puyo,4.0,22.69,20,157,7,4,5,44,5,No
1199,F,22,Zamora,1.3,35.29,59,548,3,4,0,48,4,No
1200,F,30,Puerto Baquerizo Moreno,0.2,38.45,80,455,18,5,2,6,0,Sí
1201,F,34,Ibarra,2.0,14.17,96,588,13,1,3,20,3,Sí
1202,M,57,Francisco de Orellana,2.9,31.74,73,594,13,1,1,31,2,Sí
1203,M,62,Guayaquil,0.0,27.54,62,216,18,4,0,33,3,Sí
1204,F,49,Zamora,3.9,25.39,41,579,11,4,1,44,2,No
1205,F,46,Zamora,0.4,19.74,50,482,4,4,1,7,4,Sí
1206,M,20,Manabí,1.6,49.12,63,500,19,2,1,8,4,Sí
1207,M,57,Cotopaxi,1.1,25.33,75,594,14,3,1,9,5,No
1208,F,51,Guaranda,2.5,5.08,55,253,13,3,2,2,2,No
1209,M,57,Santa Elena,0.9,38.96,79,183,18,1,0,17,4,Sí
1210,M,44,Riobamba,4.1,45.88,40,589,5,2,1,45,4,No
1211,F,30,Guayas,2.6,23.06,31,380,11,4,1,37,2,No
1212,F,62,Carchi,2.1,26.61,14,176,12,1,1,42,5,No
1213,F,50,Puyo,3.2,25.26,61,378,7,2,2,44,5,Sí
1214,M,23,Azogues,2.8,29.8,26,211,7,5,2,17,5,No
1215,F,41,Imbabura,0.1,51.6,27,208,10,2,4,38,5,Sí
1216,M,36,Nueva Loja,1.0,33.29,80,68,16,1,1,35,0,Sí
1217,M,33,Nueva Loja,5.3,47.59,63,32,3,3,3,47,2,Sí
1218,F,57,Cotopaxi,0.3,20.47,58,93,5,4,2,39,0,Sí
1219,F,45,Portoviejo,2.7,29.24,57,58,6,5,1,30,4,No
1220,F,50,Babahoyo,7.3,49.31,1,401,18,2,1,6,0,No
1221,F,58,Puyo,0.1,22.92,35,552,9,1,0,4,5,Sí
1222,F,30,Morona Santiago,2.3,50.18,70,126,9,1,0,37,4,Sí
1223,M,60,Machala,1.3,25.57,12,471,13,4,0,35,0,No
1224,M,62,Zamora Chinchipe,1.7,30.18,14,232,9,1,4,9,0,Sí
1225,M,42,Santo Domingo,0.2,60.05,88,440,4,1,0,6,2,Sí
1226,M,59,Esmeraldas,0.1,28.46,86,50,19,4,1,13,0,Sí
1227,M,53,Santo Domingo,2.2,37.18,59,580,16,5,0,22,4,No
1228,M,44,Manabí,3.5,44.25,21,131,7,3,1,28,5,No
1229,F,55,Carchi,3.0,38.4,62,75,17,3,0,30,2,No
1230,F,24,Ambato,1.6,38.83,89,95,9,2,0,36,0,Sí
1231,F,22,Santa Elena,0.2,34.15,96,193,17,5,1,2,2,Sí
1232,F,60,Manabí,2.3,15.47,74,140,19,2,1,36,3,Sí
1233,F,62,Pichincha,0.6,40.22,73,367,17,3,4,8,2,Sí
1234,F,48,Ambato,4.8,24.01,24,152,12,4,1,45,5,No
1235,M,40,Riobamba,3.6,46.64,47,476,8,1,0,42,3,Sí
1236,F,59,Orellana,2.5,55.58,42,320,18,3,0,9,3,No
1237,M,27,Puyo,5.9,7.92,37,441,18,5,4,1,2,No
1238,M,49,Morona Santiago,0.1,55.61,40,310,13,3,2,13,4,No
1239,F,60,Santa Elena,2.7,28.83,44,72,14,5,4,15,5,No
1240,M,47,Pichincha,0.8,33.04,87,515,11,5,1,32,4,Sí
1241,M,56,Santa Elena,4.7,21.31,39,80,8,5,0,34,5,No
1242,M,48,Bolívar,0.6,37.83,96,239,15,2,1,43,5,Sí
1243,M,35,Pichincha,2.6,36.0,16,155,2,4,1,31,4,No
1244,M,53,Esmeraldas,4.2,51.15,87,521,18,3,0,14,1,No
1245,M,19,Quito,0.1,23.88,56,538,5,4,3,47,3,Sí
1246,M,31,El Oro,1.0,59.91,1,287,6,1,2,14,2,No
1247,M,30,Loja,2.9,44.97,95,217,8,3,3,48,4,Sí
1248,M,46,Zamora,1.2,36.36,61,259,11,4,1,29,4,No
1249,M,29,Manabí,0.6,32.29,87,218,18,4,1,47,2,Sí
1250,F,56,Chimborazo,0.5,30.4,8,444,8,1,0,19,3,Sí
1251,M,19,Cañar,0.3,31.38,67,39,2,5,2,27,2,Sí
1252,M,49,Santo Domingo de los Tsáchilas,3.9,37.53,80,143,8,3,2,9,5,No
1253,F,30,Ambato,1.7,31.87,16,105,12,3,2,37,1,No
1254,M,63,Quito,0.2,25.39,49,531,10,1,3,37,5,Sí
1255,M,44,Esmeraldas,1.0,37.62,93,114,13,5,3,43,1,Sí
1256,F,58,Guaranda,0.9,22.46,39,78,4,3,0,28,2,No
1257,M,34,Zamora,0.4,39.84,57,524,5,3,2,24,5,Sí
1258,F,57,Morona Santiago,1.1,31.65,74,416,5,3,1,28,3,No
1259,F,48,Ambato,0.8,45.45,84,418,14,5,3,36,5,Sí
1260,M,51,Nueva Loja,0.8,49.84,20,247,11,1,2,18,4,Sí
1261,F,41,Azogues,2.7,49.83,17,375,6,3,1,25,1,No
1262,M,62,Tena,0.5,39.77,54,259,8,4,0,35,1,Sí
1263,M,52,Nueva Loja,2.1,41.52,28,284,17,5,2,4,3,No
1264,F,23,Francisco de Orellana,1.7,30.16,23,265,2,2,0,14,1,No
1265,F,36,Ambato,1.7,45.16,73,55,13,1,2,39,1,Sí
1266,F,47,Los Ríos,2.2,46.86,16,290,3,4,1,26,3,No
1267,F,24,Cuenca,1.6,11.49,17,300,8,3,1,8,5,No
1268,F,27,Pichincha,4.2,40.68,41,152,12,2,0,24,2,No
1269,M,58,Loja,2.3,55.52,83,286,14,1,1,16,5,Sí
1270,M,49,Chimborazo,1.6,29.66,44,450,3,5,0,20,4,No
1271,F,51,Sucumbíos,3.5,26.38,81,288,8,2,1,15,4,Sí
1272,F,45,Santo Domingo,1.9,28.7,16,76,16,2,3,7,1,Sí
1273,F,32,Bolívar,0.7,12.43,72,554,12,4,0,17,4,Sí
1274,M,47,Chimborazo,0.5,36.89,13,237,3,1,3,22,2,Sí
1275,F,54,Cuenca,0.3,35.45,48,340,8,4,1,22,1,Sí
1276,F,46,Quito,4.6,37.96,28,178,5,4,1,12,4,No
1277,F,39,Santo Domingo de los Tsáchilas,2.5,41.24,94,467,12,3,0,18,0,No
1278,F,21,Latacunga,5.5,23.03,3,184,3,5,4,46,0,No
1279,F,37,Morona Santiago,1.8,39.1,81,119,17,2,1,47,0,Sí
1280,F,49,Sucumbíos,1.3,41.65,19,387,8,1,1,15,0,No
1281,F,53,Francisco de Orellana,0.1,27.67,46,203,14,5,1,37,5,Sí
1282,M,21,Tungurahua,2.2,41.3,8,246,6,5,2,16,0,No
1283,M,44,Loja,1.7,36.21,76,485,18,1,3,5,1,Sí
1284,M,34,Tungurahua,9.3,25.53,78,228,13,5,1,2,3,No
1285,F,29,Latacunga,0.5,39.24,26,515,8,3,5,28,5,Sí
1286,M,39,Santa Elena,1.5,30.64,14,562,7,5,1,41,3,No
1287,F,34,Guayaquil,2.1,45.46,91,229,9,3,1,27,1,No
1288,F,27,Esmeraldas,2.1,31.41,18,400,14,2,1,31,1,No
1289,M,18,Tulcán,1.6,15.65,89,477,6,2,5,41,2,Sí
1290,F,39,Babahoyo,3.0,39.0,51,277,3,4,2,36,5,No
1291,M,43,Bolívar,0.5,38.44,25,293,10,3,2,47,3,No
1292,M,35,El Oro,2.6,18.78,88,87,12,2,1,43,0,Sí
1293,F,31,Portoviejo,1.9,46.26,25,331,7,5,2,1,1,No
1294,M,64,Ibarra,4.5,45.47,25,60,8,1,4,29,0,Sí
1295,M,46,Pastaza,3.8,21.95,45,527,8,1,1,1,3,No
1296,F,29,Santa Elena,0.8,25.11,91,278,7,3,3,8,5,Sí
1297,F,53,Los Ríos,0.6,32.87,48,300,12,4,1,16,4,Sí
1298,M,52,Pichincha,8.0,23.62,81,423,12,5,3,28,4,Sí
1299,F,29,Pichincha,1.5,44.61,95,531,8,3,0,22,1,No
1300,M,24,Guayas,4.7,37.23,52,113,3,1,1,18,2,Sí
1301,M,46,Galápagos,0.4,18.6,2,394,5,3,0,22,0,No
1302,F,28,Francisco de Orellana,2.1,22.66,65,578,7,5,0,41,1,No
1303,F,50,Puyo,3.3,52.82,96,371,18,2,2,12,2,Sí
1304,F,23,Imbabura,5.9,58.03,41,436,6,5,0,19,0,No
1305,F,64,Cañar,0.8,43.08,18,454,8,2,2,25,3,Sí
1306,M,32,Bolívar,2.6,31.83,16,122,10,2,5,5,4,Sí
1307,F,49,Portoviejo,1.5,28.4,32,441,2,2,2,34,2,No
1308,M,28,Loja,0.1,43.25,75,461,2,3,1,39,0,Sí
1309,F,40,Esmeraldas,2.3,36.14,48,188,7,1,1,10,1,Sí
1310,M,43,Carchi,2.3,10.85,55,43,19,3,1,47,0,No
1311,M,51,Loja,5.3,50.48,62,402,11,1,1,7,1,Sí
1312,M,63,Zamora Chinchipe,1.4,55.19,2,254,12,5,1,37,4,No
1313,M,51,Zamora,0.5,46.06,48,534,2,4,2,47,4,Sí
1314,M,46,Los Ríos,0.1,18.63,54,102,2,5,1,15,0,Sí
1315,F,21,Santa Elena,1.1,25.45,25,278,14,3,5,42,0,No
1316,F,34,Babahoyo,0.7,7.13,98,540,6,3,0,24,1,Sí
1317,M,52,Guayas,2.9,58.94,71,245,2,1,3,26,1,Sí
1318,M,30,Santa Elena,0.9,29.65,51,570,4,3,2,26,2,Sí
1319,M,58,Sucumbíos,6.0,70.0,99,249,19,2,0,46,2,Sí
1320,M,56,Los Ríos,6.6,64.33,6,250,10,3,2,26,2,No
1321,F,32,Francisco de Orellana,1.9,21.45,45,418,15,1,5,10,0,Sí
1322,F,46,Esmeraldas,5.3,24.38,45,583,18,1,1,17,5,No
1323,F,46,Santa Elena,2.9,41.99,99,71,15,2,2,14,5,Sí
1324,M,28,Manabí,1.6,8.68,15,312,5,1,3,2,5,Sí
1325,M,49,Azuay,0.4,28.43,23,87,6,4,1,48,5,No
1326,F,19,Machala,1.2,26.93,60,566,18,5,0,13,2,No
1327,F,64,Puyo,1.6,62.77,53,102,3,3,1,27,0,No
1328,F,31,Quito,4.0,37.42,61,158,6,4,0,9,5,No
1329,M,37,Ambato,1.3,30.73,0,455,5,3,1,7,4,No
1330,M,39,Latacunga,4.6,25.53,48,154,5,4,1,48,3,No
1331,M,28,Puerto Baquerizo Moreno,2.2,48.41,24,96,7,3,3,10,4,No
1332,F,44,Loja,0.3,27.55,9,35,14,2,2,9,0,Sí
1333,M,20,Tulcán,10.6,34.25,79,343,6,1,3,22,0,Sí
1334,M,34,Loja,1.5,25.41,15,355,8,1,2,23,3,No
1335,M,61,Pichincha,1.0,12.24,57,594,2,2,1,7,1,Sí
1336,M,45,Chimborazo,2.2,20.06,71,535,15,4,1,48,1,No
1337,F,46,Santo Domingo,0.2,27.47,28,111,5,5,1,9,1,No
1338,F,38,Nueva Loja,2.0,31.05,91,31,18,4,0,27,2,No
1339,F,64,Santa Elena,1.4,31.71,5,233,15,1,0,24,1,No
1340,M,33,Bolívar,1.0,33.67,15,433,17,5,1,29,2,No
1341,F,54,Chimborazo,6.1,27.67,19,132,15,3,3,17,2,No
1342,F,37,Cuenca,1.5,55.24,79,565,17,5,2,20,1,No
1343,M,23,Napo,0.5,49.22,70,397,9,4,0,7,1,Sí
1344,M,36,Santa Elena,1.2,32.97,77,241,4,2,1,43,3,Sí
1345,M,22,Portoviejo,5.0,38.81,42,238,2,3,2,40,5,No
1346,F,20,Guayas,0.4,29.42,25,146,3,4,0,7,3,No
1347,F,18,Tulcán,0.5,-7.65,89,507,16,3,1,28,2,Sí
1348,M,55,Cañar,0.0,35.31,77,134,11,5,0,19,3,Sí
1349,M,32,Esmeraldas,0.0,39.58,70,524,19,1,0,20,2,Sí
1350,F,51,Tungurahua,3.5,10.81,32,75,15,4,0,44,0,No
1351,F,52,Los Ríos,2.6,42.49,25,360,18,2,0,39,2,No
1352,F,42,Quito,0.9,30.79,44,245,14,5,2,40,2,No
1353,F,41,Ibarra,2.4,40.07,83,521,2,4,2,7,3,No
1354,M,29,Los Ríos,1.0,31.24,62,478,6,2,0,6,5,Sí
1355,M,35,Cotopaxi,6.1,53.76,66,565,14,4,2,25,0,No
